codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
AC-13,Conhecimentos Específicos - Administração e Controle,Armazenagem,complementar_aprofundamento,Estruturas de armazenagem logística (AULA COMPLETA),SAC Logística,https://www.youtube.com/watch?v=9HUSHbV3Vbs,29:19,29/05/2021,fora_do_universo_concursos,NAO,"Aprofunda estruturas físicas de armazenagem (porta-paletes, estruturas verticais etc.), tema de 'tecnologias' e organização de armazéns do código."
AC-13,Conhecimentos Específicos - Administração e Controle,Armazenagem,complementar_revisao,Layout da Armazenagem na Logística,Canal de Logística,https://www.youtube.com/watch?v=UCSUPK_L8wM,13:29,27/01/2020,fora_do_universo_concursos,NAO,"Revisão objetiva e mais curta sobre layout de armazém, cobrindo o subtema 'layout e organização' do código de forma resumida."
AC-14,Conhecimentos Específicos - Administração e Controle,Manuseio de Materiais,principal,"EQUIPAMENTOS DE MOVIMENTAÇÃO: Conceito, importância, tipos e características! | Aula Completa",SAC Logística,https://www.youtube.com/watch?v=BsX4GAKGdgc,8:42,04/04/2023,fora_do_universo_concursos,NAO,"Aula objetiva sobre equipamentos de movimentação de materiais (empilhadeiras, paleteiras, pontes rolantes etc.), núcleo do código 'equipamentos de movimentação'."
AC-14,Conhecimentos Específicos - Administração e Controle,Manuseio de Materiais,complementar_aprofundamento,Logística - Movimentação e Armazenagem - Aula 01,EaD IFPI,https://www.youtube.com/watch?v=3GXwLt8EFDs,19:53,22/10/2014,fora_do_universo_concursos,NAO,"Aula institucional (Instituto Federal do Piauí) sobre princípios de movimentação e armazenagem de materiais, aprofundando os 'princípios de movimentação eficiente' citados no código."
AC-15,Conhecimentos Específicos - Administração e Controle,Embalagem,principal,Embalagem na Logística,Canal de Logística,https://www.youtube.com/watch?v=DDNQD6_GWo4,12:00,20/06/2022,fora_do_universo_concursos,NAO,"Aula direta sobre tipos e funções de embalagem na logística, núcleo do código. Usado como principal após 3+ buscas com termos distintos não localizarem aula equivalente nos canais prioritários de concursos (Estratégia Concursos, CPWS, Adriane Fauth - que não cobre logística)."
AC-15,Conhecimentos Específicos - Administração e Controle,Embalagem,complementar_aprofundamento,O QUE É A UNITIZAÇÃO DE CARGAS? Conceito, tipos e aplicações (Aula completa),SAC Logística,https://www.youtube.com/watch?v=5TVxJYstNME,20:29,14/06/2022,fora_do_universo_concursos,NAO,"Aprofunda especificamente 'unitização de cargas', um dos quatro subtemas explícitos do código AC-15."
AC-15,Conhecimentos Específicos - Administração e Controle,Embalagem,complementar_revisao,Logística de Transportes - Aula: Cargas Perigosas (Aula 1) - Concursos Petrobras e Transpetro | CPWS,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=F1puXxR2C9g,3:18:12,~1 ano atrás (data exata não confirmada na busca),outro_canal_concursos,NAO,"[CORRIGIDO 2026-08-20: papel reclassificado de complementar_questoes para complementar_revisao após verificação — o título 'Aula: Cargas Perigosas (Aula 1)' indica aula expositiva/teórica estruturada de um curso, não sessão de resolução de questões; recolocado como 3º vídeo (revisão/cobertura do subtema 'segurança no transporte', não coberto pelos outros dois) para não duplicar o papel complementar_aprofundamento já usado neste código.] Aula de curso de concursos Petrobras/Transpetro sobre transporte de cargas perigosas, cobrindo de forma extensa o subtema 'segurança no transporte' do código AC-15, que os outros dois vídeos não tratam."
AC-16,Conhecimentos Específicos - Administração e Controle,Gestão de Compras,principal,Logística de Transporte - Aula: Lei 13.303/2016 – Do procedimento de Licitação | CPWS Concursos,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=df_0zEB5L1I,3:27:56,~1 ano atrás (data exata não confirmada na busca),outro_canal_concursos,NAO,"Aula específica e vigente sobre a Lei 13.303/2016 (regime de licitações e contratos de estatais como Transpetro), tratando do procedimento licitatório citado explicitamente no código AC-16. NÃO é baseada na Lei 8.666/1993 (revogada)."
AC-16,Conhecimentos Específicos - Administração e Controle,Gestão de Compras,complementar_aprofundamento,Curso Completo de Licitações e Contratos - Lei 14.133/2021 - Prof. Herbert Almeida,Estratégia Concursos,https://www.youtube.com/watch?v=KuycQPQwYZ0,3:34:10,03/08/2022,estrategia_concursos,NAO,"Curso completo e vigente sobre a Nova Lei Geral de Licitações (Lei 14.133/2021), a segunda lei citada explicitamente no código AC-16, ministrado por professor de referência da Estratégia Concursos. NÃO trata da Lei 8.666/1993 revogada."
AC-16,Conhecimentos Específicos - Administração e Controle,Gestão de Compras,complementar_revisao,Téc. de Suprimento de Bens e Serviços: Lei 13.303/2016 (Aula 1) - Concursos Petrobras CPWS,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=wcX4nhztmmg,2:53:18,25/05/2025,outro_canal_concursos,NAO,"Revisita a Lei 13.303/2016 sob a ótica de suprimento de bens e serviços (compras), reforçando o mesmo diploma legal vigente citado no código, a partir de um ângulo aplicado e prático de concursos de estatal."
AC-17,Conhecimentos Específicos - Administração e Controle,Gestão de Contratos,principal,Curso Completo de Licitações e Contratos - Lei 14.133/2021 - Prof. Herbert Almeida,Estratégia Concursos,https://www.youtube.com/watch?v=KuycQPQwYZ0,3:34:10,03/08/2022,estrategia_concursos,NAO,"Mesmo curso completo do professor Herbert Almeida (Estratégia Concursos) citado em AC-16, cujo conteúdo inclui capítulo específico sobre contratos administrativos da Lei 14.133/2021 (formalização, execução, fiscalização, alteração/aditivos), cobrindo o núcleo de 'ciclo de vida do contrato' e 'gestão de riscos e aditivos' do código."
AC-17,Conhecimentos Específicos - Administração e Controle,Gestão de Contratos,complementar_aprofundamento,Logística de Transporte - Aula: Lei 13.303/2016 – Do procedimento de Licitação | CPWS Concursos,CPWS - Concursos Petrobras e Transpetro,https://www.youtube.com/watch?v=df_0zEB5L1I,3:27:56,~1 ano atrás (data exata não confirmada na busca),outro_canal_concursos,NAO,"Mesma aula CPWS citada em AC-16; aborda o procedimento licitatório de estatais que antecede e fundamenta a formalização e gestão dos contratos no regime da Lei 13.303/2016, aplicável ao ciclo de vida contratual em empresas como a Transpetro."
AC-17,Conhecimentos Específicos - Administração e Controle,Gestão de Contratos,complementar_revisao,"Minicurso de GESTÃO DE CONTRATOS para CONCURSOS - Lei 14.133/21 - AULA 01 - Professor Franco",JUS POLIS,https://www.youtube.com/watch?v=EO-WGTYYAqA,não identificada,não identificada,outro_canal_concursos,NAO,"Minicurso dedicado especificamente a 'Gestão de Contratos' (não licitações em geral) sob a Lei 14.133/2021, complementando as duas aulas anteriores (focadas majoritariamente em licitação) com um recorte de revisão orientado ao ciclo de vida, fiscalização e alteração/aditivos contratuais citados no código AC-17. Encontrado após pesquisa adicional dedicada especificamente a este gap (buscas: 'gestão e fiscalização de contratos Lei 14.133 aula Estratégia OR Gran Cursos', confirmando também um vídeo do mesmo tema no canal 'Contabilidade e Direito' e outro do 'Professor Mazziotti' descartados por não serem de canal de concursos ou por tratarem só de licitação, não de gestão de contratos)."
AC-18,Conhecimentos Específicos - Administração e Controle,Fundamentos de computação,principal,Informática para Concursos 2026 - AULA 1 - Windows 11 - Prof. Alan Souza,Prof. Alan Souza,https://www.youtube.com/watch?v=QIB18HYMdok,25:53,06/02/2026,outro_canal_concursos,GERAL,"Primeira aula de série 2026 sobre o sistema operacional Windows, cobrindo fundamentos de hardware/software e introdução ao Windows 11, específico para concursos e atualizado para 2026."
AC-18,Conhecimentos Específicos - Administração e Controle,Fundamentos de computação,complementar_aprofundamento,Informática para Concursos 2026 - AULA 8 - Windows 11 - Prof. Alan Souza,Prof. Alan Souza,https://www.youtube.com/watch?v=R_56fkYwmfY,30:43,23/02/2026,outro_canal_concursos,GERAL,"Aula da mesma série 2026 dedicada aos acessórios/utilitários do Windows 11, aprofundando o subtema 'utilitários, aplicativos e manipulação de arquivos' do código."
AC-18,Conhecimentos Específicos - Administração e Controle,Fundamentos de computação,complementar_questoes,Questões de Informática para Concursos - Sistemas Operacionais,Prof. Marcelo Narciso,https://www.youtube.com/watch?v=8SmLcUatOmA,17:55,25/05/2026,outro_canal_concursos,GERAL,"Resolução de questões de concurso sobre sistemas operacionais, servindo de treino de questões objetivas para o tema Windows/sistemas operacionais do código."
AC-19,Conhecimentos Específicos - Administração e Controle,Aplicativos comerciais,principal,Informática para Concursos 2026 - AULA 1 - MS WORD 365 - Prof. Alan Souza,Prof. Alan Souza,https://www.youtube.com/watch?v=hB73XLR24dQ,29:18,23/03/2026,outro_canal_concursos,GERAL,"Aula 2026 sobre Microsoft Word (versão 365/nuvem, equivalente atual ao Office 2024 mencionado no edital), cobrindo edição de textos citada no código. Observação: é Word 365, não literalmente 'Office 2024', mas trata da versão vigente do aplicativo."
AC-19,Conhecimentos Específicos - Administração e Controle,Aplicativos comerciais,complementar_aprofundamento,Aula de Informática do zero: Word e Excel - AlfaCon,AlfaCon,https://www.youtube.com/watch?v=VFQ6BqDDePM,2:05:39,24/05/2022,outro_canal_concursos,GERAL,"Aula longa e completa cobrindo Word e Excel (planilhas) para concursos, aprofundando o subtema 'planilhas' do código, que a aula principal (focada em Word) não cobre em profundidade."
AC-19,Conhecimentos Específicos - Administração e Controle,Aplicativos comerciais,complementar_revisao,Informática para Concursos - PowerPoint - AlfaCon,AlfaCon,https://www.youtube.com/watch?v=d1NGqMxkp1g,9:51,14/10/2016,outro_canal_concursos,GERAL,"Revisão objetiva e curta sobre PowerPoint (material multimídia), cobrindo o subtema 'material escrito e multimídia' do código de forma resumida; vídeo mais antigo mas conceitos de interface do PowerPoint têm baixa obsolescência."
AC-20,Conhecimentos Específicos - Administração e Controle,Internet e intranet,principal,Informática para Concursos - Aula 03.01 - Internet x Intranet x Extranet - Internet,Professor Alê,https://www.youtube.com/watch?v=6G_onNf0IMc,15:26,15/08/2023,outro_canal_concursos,GERAL,"Aula específica sobre o conceito de Internet dentro de uma série comparativa Internet x Intranet x Extranet, cobrindo diretamente o núcleo conceitual do código."
AC-20,Conhecimentos Específicos - Administração e Controle,Internet e intranet,complementar_aprofundamento,Informática para Concursos - Aula 03.02 - Internet x Intranet x Extranet - Intranet,Professor Alê,https://www.youtube.com/watch?v=8VeJYDIBqME,17:19,16/08/2023,outro_canal_concursos,GERAL,"Continuação da série do Professor Alê, aprofundando especificamente o conceito de Intranet, segundo pilar do código AC-20."
AC-20,Conhecimentos Específicos - Administração e Controle,Internet e intranet,complementar_questoes,500 Questões de Informática [Navegadores] - Prof. Alan Souza,Prof. Alan Souza,https://www.youtube.com/watch?v=vmNii8_xtqA,1:49:16,09/11/2024,outro_canal_concursos,GERAL,"Bateria de questões comentadas especificamente sobre navegadores de internet, cobrindo o subtema 'principais navegadores' do código em formato de treino de questões."
AC-21,Conhecimentos Específicos - Administração e Controle,Segurança da informação e LGPD,principal,Segurança da Informação - aula de Informática para Concursos - AO VIVO,AlfaCon,https://www.youtube.com/watch?v=PxgYsfzLaoo,2:16:58,24/08/2019,outro_canal_concursos,GERAL,"Aula completa e extensa sobre noções de segurança da informação (conceitos, princípios, ataques, mecanismos de proteção) para concursos, núcleo do código AC-21."
AC-21,Conhecimentos Específicos - Administração e Controle,Segurança da informação e LGPD,complementar_aprofundamento,Lei Geral de Proteção de Dados - LGPD (13.709/18) - Professor Luciano Franco,JUS POLIS,https://www.youtube.com/watch?v=hnx-wS3i1TY,1:05:30,12/11/2025,outro_canal_concursos,GERAL,"Aula dedicada e recente especificamente à Lei nº 13.709/2018 (LGPD) e suas alterações, segundo pilar explícito do código AC-21, com riqueza de detalhes sobre a lei vigente."
AC-21,Conhecimentos Específicos - Administração e Controle,Segurança da informação e LGPD,complementar_revisao,Segurança da Informação p Concursos | Confidencialidade Integridade Disponibilidade e Autenticidade,ROMILTON JÚNIOR,https://www.youtube.com/watch?v=C8ZTng3xRiA,11:30,06/02/2024,outro_canal_concursos,GERAL,"Revisão curta e objetiva dos princípios (pilares) da segurança da informação (CID + Autenticidade), reforçando de forma resumida os conceitos centrais do código."
