codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
AC-04,Conhecimentos Específicos - Administração e Controle,Diferenças entre tipos de manutenção,complementar_aprofundamento,"A diferença entre manutenção corretiva, preventiva e preditiva | Danilo Romão #02",Fracttal Brasil,https://www.youtube.com/watch?v=ju8XDZguebs,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aprofunda com outro especialista (Danilo Romão) as diferenças práticas entre os tipos de manutenção e sua aplicação industrial, complementando a aula principal com exemplos adicionais."
AC-04,Conhecimentos Específicos - Administração e Controle,Planejamento e Controle da Manutenção (PCM),complementar_revisao,"O que é PCM - Planejamento e Controle da Manutenção?",ENGETELES - Escola de Gestão da Manutenção,https://www.youtube.com/watch?v=EfuigH4nI0Y,não identificada,não identificada,fora_do_universo_concursos,NAO,"Cobre especificamente o subtema 'planejamento e controle da manutenção' do AC-04, que as duas aulas anteriores (focadas nos tipos de manutenção) não detalham, funcionando como revisão complementar do conceito de PCM."
AC-05,Conhecimentos Específicos - Administração e Controle,Gestão do desempenho e indicadores,principal,"Gestão do Desempenho - Administração de Recursos Humanos",Rodrigo Rennó,https://www.youtube.com/watch?v=RFzZbauQ2xA,não identificada,não identificada,outro_canal_concursos,NAO,"Aula central de Rodrigo Rennó sobre gestão do desempenho, incluindo indicadores de desempenho e sua utilização para acompanhamento e tomada de decisão, núcleo do código AC-05."
AC-05,Conhecimentos Específicos - Administração e Controle,Indicadores de desempenho - questões comentadas,complementar_questoes,"Gestão do Desempenho - Aula de questões comentadas do Cespe / Cebraspe",Rodrigo Rennó,https://www.youtube.com/watch?v=Ns47JXmkvWU,não identificada,não identificada,outro_canal_concursos,NAO,"Aula de questões comentadas de bancas sobre gestão do desempenho e indicadores, permitindo praticar a aplicação do conteúdo da aula principal em formato de prova, complementando com foco em questões."
AC-05,Conhecimentos Específicos - Administração e Controle,Indicadores de desempenho - revisão rápida,complementar_revisao,"Administração Geral - Indicadores de Desempenho | Dica nº83 | Receita Federal",AlfaCon,https://www.youtube.com/watch?v=tXAuVR9OJaI,não identificada,não identificada,outro_canal_concursos,NAO,"Vídeo curto de revisão ('dica') do AlfaCon sobre indicadores de desempenho, útil para relembrar rapidamente os conceitos centrais (eficiência, eficácia, efetividade e tipos de indicadores) já vistos nas aulas anteriores."
AC-06,Conhecimentos Específicos - Administração e Controle,Juros simples e compostos,principal,"Juros Simples x Juros Compostos - Aula 1",Felippe Loureiro,https://www.youtube.com/watch?v=RNVgJHpOUrA,não identificada,não identificada,outro_canal_concursos,NAO,"Aula do professor Felippe Loureiro, especializado em matemática e matemática financeira para concursos (inclusive com curso específico para a Transpetro), comparando juros simples e compostos, núcleo do código AC-06."
AC-06,Conhecimentos Específicos - Administração e Controle,Desconto comercial simples,complementar_aprofundamento,"Aula 1: Matemática Financeira - Desconto Comercial Simples",Professor Julio Cesar (Bizutemática),https://www.youtube.com/watch?v=wmverYTpORw,não identificada,não identificada,outro_canal_concursos,NAO,"Aprofunda especificamente o subtema 'descontos' do AC-06, que a aula principal (focada em juros) não cobre em detalhe, com um professor dedicado a matemática para concursos."
AC-06,Conhecimentos Específicos - Administração e Controle,Porcentagem - questões de concurso,complementar_questoes,"20 Questões Resolvidas de Concursos de Porcentagem - Várias Bancas",Matemática Boa,https://www.youtube.com/watch?v=XpHNly9AjFM,não identificada,não identificada,outro_canal_concursos,NAO,"Resolução de 20 questões de porcentagem de diferentes bancas, cobrindo o subtema 'porcentagem' do AC-06 em formato de prática de questões, complementando as aulas teóricas anteriores."
AC-07,Conhecimentos Específicos - Administração e Controle,Princípios de contabilidade,principal,"Princípios da Contabilidade - [Tudo em 24 min]",CFC Academy,https://www.youtube.com/watch?v=E4otkAWeaZc,24 min (aprox.),não identificada,fora_do_universo_concursos,NAO,"Aula central e completa sobre os princípios/fundamentos contábeis (registro pelo valor original, prudência, competência etc.), tema literal do código AC-07 ('princípios e práticas contábeis fundamentais'), em canal focado em preparação para o exame do CFC."
AC-07,Conhecimentos Específicos - Administração e Controle,Características qualitativas dos princípios contábeis,complementar_aprofundamento,"Os princípios contábeis ainda existem? Características qualitativas fundamentais e de melhoria",Professor Quintino,https://www.youtube.com/watch?v=eOPXQr7MNjU,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aprofunda a discussão sobre os princípios contábeis frente à estrutura conceitual atual (características qualitativas), complementando a aula principal com uma visão mais atual e crítica do tema."
AC-07,Conhecimentos Específicos - Administração e Controle,Escrituração contábil fiscal e obrigações acessórias,complementar_revisao,"ECF: Tudo sobre a Escrituração Contábil Fiscal (na prática)",Contabilidade Facilitada,https://www.youtube.com/watch?v=8nXq_xZiVak,não identificada,não identificada,fora_do_universo_concursos,NAO,"Cobre especificamente o subtema 'obrigações acessórias e controle fiscal' do AC-07 (ECF é uma obrigação acessória concreta), tema não tratado pelas duas aulas anteriores, que focam nos princípios contábeis."
AC-08,Conhecimentos Específicos - Administração e Controle,DFC - método indireto,principal,"Demonstração dos Fluxos de Caixa (DFC) - Método Indireto",Marcia Lacerda Farias,https://www.youtube.com/watch?v=6PzMw91_dHU,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aula central sobre a elaboração da Demonstração dos Fluxos de Caixa pelo método indireto, cobrindo diretamente 'elaboração e análise (direto e indireto)' do código AC-08. Usado após esgotar busca por aula equivalente em canal de concursos (ver esgotamento na cobertura)."
AC-08,Conhecimentos Específicos - Administração e Controle,Fluxo de caixa direto e indireto integrado ao balanço/DRE,complementar_aprofundamento,"Demonstração Fluxo de Caixa - Método Direto e Indireto (Balanço Patrimonial e DRE)",GCoelho,https://www.youtube.com/watch?v=FeD893hNeDY,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aprofunda comparando os métodos direto e indireto e mostrando a integração da DFC com Balanço Patrimonial e DRE, atendendo ao subtema 'integração com orçamento e projeções/demais demonstrações' do AC-08."
AC-08,Conhecimentos Específicos - Administração e Controle,DFC método indireto - revisão,complementar_revisao,"46 - Demonstração do Fluxo de Caixa - Método Indireto - Contabilidade",Professor Quintino,https://www.youtube.com/watch?v=JUe5U0JTdws,não identificada,não identificada,fora_do_universo_concursos,NAO,"Revisão numerada de uma série de aulas de contabilidade especificamente sobre o método indireto da DFC, reforçando de forma objetiva o conteúdo já visto nas aulas anteriores."
AC-09,Conhecimentos Específicos - Administração e Controle,Análise das demonstrações contábeis (Balanço e DRE),principal,"Análise das Demonstrações Contábeis do ZERO para Concursos - Semana Nacional EC",Estratégia Concursos,https://www.youtube.com/watch?v=BRaIxtk-rr4,não identificada,não identificada,estrategia_concursos,NAO,"Aula gratuita do canal oficial Estratégia Concursos (evento 'Semana Nacional'), tratando do zero a análise das demonstrações contábeis, cobrindo a relação entre Balanço Patrimonial, DRE e demais demonstrações, núcleo do código AC-09."
AC-09,Conhecimentos Específicos - Administração e Controle,Estrutura do Balanço Patrimonial e da DRE,complementar_aprofundamento,"Balanço Patrimonial e Demonstração do Resultado (DRE): Aula Completa",Contabilidade Facilitada,https://www.youtube.com/watch?v=veQVYctnBFM,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aula completa e detalhada sobre a estrutura do Balanço Patrimonial (Ativo, Passivo, PL) e da DRE, aprofundando a montagem de cada demonstração além do panorama da aula principal."
AC-09,Conhecimentos Específicos - Administração e Controle,Conceitos básicos de Balanço e DRE - revisão,complementar_revisao,"Balanço Patrimonial e Demonstração Resultado - Conceitos Básicos em 10 min! Demonstrações Financeiras",GCoelho,https://www.youtube.com/watch?v=EkNJ8v6T6bQ,10 min (aprox.),não identificada,fora_do_universo_concursos,NAO,"Vídeo curto de revisão rápida (10 minutos) dos conceitos básicos de Balanço Patrimonial e DRE, útil para consolidar rapidamente a estrutura das duas demonstrações antes da prova."
