codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
PT-04,Língua Portuguesa,Emprego das classes de palavras,complementar_revisao,"CLASSE DE PALAVRAS para concurso público em 5 minutos",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=jX5PkKEsEX8,não verificada,não verificada,outro_canal_concursos,GERAL,"Revisão rápida e objetiva das classes de palavras, útil para reforço de véspera de prova."
PT-04,Língua Portuguesa,Emprego das classes de palavras,complementar_questoes,"AULA 01 - MORFOLOGIA || QUESTÕES",Professor Fábio Almeida,https://www.youtube.com/watch?v=1xgcSGTyvj4,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula orientada à resolução de questões de morfologia/classes de palavras, complementando a teoria com prática de banca."
PT-05,Língua Portuguesa,Concordância nominal e verbal,principal,"CONCORDÂNCIA VERBAL - Teoria e Questões para Concurso",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=jdqhnVUvqOc,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula central combinando teoria e questões de concordância verbal, base direta para o código PT-05 (concordância nominal e verbal)."
PT-05,Língua Portuguesa,Concordância nominal e verbal,complementar_questoes,"QUESTÕES COMENTADAS de CONCORDÂNCIA VERBAL e NOMINAL [Prof. Eliane Vieira]",Rota de Estudo,https://www.youtube.com/watch?v=kFVQOkfV9sk,não verificada,não verificada,outro_canal_concursos,GERAL,"Questões comentadas cobrindo tanto concordância verbal quanto nominal, treinando aplicação de regras em itens de prova."
PT-05,Língua Portuguesa,Concordância nominal e verbal,complementar_revisao,"Você ainda erra CONCORDÂNCIA VERBAL e NOMINAL? Veja isto antes da prova...",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=C8JPK8vBfa0,não verificada,não verificada,outro_canal_concursos,GERAL,"Revisão de véspera de prova focada nos erros mais comuns de concordância verbal e nominal."
PT-06,Língua Portuguesa,Emprego do sinal indicativo de crase,principal,"Concurso Caixa - Aula de Língua portuguesa: Emprego do sinal indicativo de crase",Qconcursos,https://www.youtube.com/watch?v=TD8u-10HtyE,não verificada,não verificada,outro_canal_concursos,NAO,"Aula central sobre o emprego do sinal indicativo de crase produzida por canal de concursos (Qconcursos) para outro edital bancário, cobrindo integralmente o código PT-06."
PT-06,Língua Portuguesa,Emprego do sinal indicativo de crase,complementar_questoes,"Emprego do sinal indicativo de Crase - 10 questões de 2024 comentadas",Matérias para concursos,https://www.youtube.com/watch?v=bf70DXjYjZ4,não verificada,não verificada,outro_canal_concursos,NAO,"Resolve 10 questões recentes (2024) sobre crase, treinando a identificação do sinal indicativo em contextos de prova real."
PT-06,Língua Portuguesa,Emprego do sinal indicativo de crase,complementar_aprofundamento,"Crase - O motivo do uso do sinal indicativo de crase - FGV - Prof. Robson Teixeira",Fazendo a Base,https://www.youtube.com/watch?v=a3fOIj1E25I,não verificada,não verificada,outro_canal_concursos,NAO,"Aprofunda o motivo linguístico do uso da crase (regência + artigo) no padrão da banca FGV, indo além da regra decorada."
PT-07,Língua Portuguesa,Sinais de pontuação,principal,"PONTUAÇÃO - Aulão completo para Concurso Público!",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=G8Stjzy-87k,não verificada,não verificada,outro_canal_concursos,GERAL,"Aulão completo sobre todos os sinais de pontuação cobrados em concurso público, correspondendo diretamente ao código PT-07."
PT-07,Língua Portuguesa,Sinais de pontuação,complementar_aprofundamento,"PONTUAÇÃO FÁCIL: Aprenda o Emprego dos Sinais de Pontuação (Concursos e Vestibulares)",Português sem Enrolação (Professora Lis),https://www.youtube.com/watch?v=KD2TAJyZECc,não verificada,não verificada,outro_canal_concursos,GERAL,"Detalha o emprego de cada sinal de pontuação com explicações adicionais voltadas a concursos e vestibulares, aprofundando casos de uso."
PT-07,Língua Portuguesa,Sinais de pontuação,complementar_questoes,"CEBRASPE - EMPREGO DOS SINAIS DE PONTUAÇÃO: APRENDA A USAR A VÍRGULA.",Professor Mazziotti,https://www.youtube.com/watch?v=k_VdVCK8tSU,não verificada,não verificada,outro_canal_concursos,NAO,"Foca na aplicação da vírgula e demais sinais em questões no padrão Cebraspe, treinando o raciocínio de prova."
PT-08,Língua Portuguesa,Significação das palavras,principal,"SEMÂNTICA - sinônimos, antônimos, homônimos, parônimos, hipônimos e hiperônimos",Nota Dez Play,https://www.youtube.com/watch?v=MavYAYVFG1Y,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula mais completa sobre significação das palavras, cobrindo sinônimos, antônimos, homônimos, parônimos, hipônimos e hiperônimos — todo o escopo do código PT-08."
PT-08,Língua Portuguesa,Significação das palavras,complementar_questoes,"SINÔNIMO E ANTÔNIMO || Teoria + Questões de Concurso",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=jXgaKQZDb_M,não verificada,não verificada,outro_canal_concursos,GERAL,"Combina teoria com questões de concurso sobre sinônimos e antônimos, reforçando a aplicação prática do conteúdo semântico."
PT-08,Língua Portuguesa,Significação das palavras,complementar_revisao,"Significação das Palavras - Aula 01 (Sinônimos e Antônimos)",Prof. Wilson Rochenbach,https://www.youtube.com/watch?v=ikYBuvJ5ESQ,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula de revisão introdutória sobre significação das palavras, retomando de forma direta sinônimos e antônimos."
MAT-01,Matemática,Conjuntos numéricos (naturais, inteiros, racionais, reais); ordem, operações e propriedades,principal,"CONJUNTOS NUMÉRICOS: Naturais, Inteiros, Racionais, Irracionais e Reais",Matemática do aluno (Prof. Rodrigo Ribeiro),https://www.youtube.com/watch?v=f3Inndu_T5Q,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que apresenta todos os conjuntos numéricos citados no código MAT-01 (N, Z, Q, R) com suas propriedades e relações de pertinência."
MAT-01,Matemática,Conjuntos numéricos (naturais, inteiros, racionais, reais); ordem, operações e propriedades,complementar_aprofundamento,"Números NATURAIS, INTEIROS, RACIONAIS, IRRACIONAIS e REAIS - Curso de Conjuntos - AULA 5",Professora Angela Matemática,https://www.youtube.com/watch?v=1nXjvLXDH4k,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Parte de um curso estruturado de conjuntos, aprofunda a classificação e as operações entre os conjuntos numéricos além da aula introdutória."
MAT-01,Matemática,Conjuntos numéricos (naturais, inteiros, racionais, reais); ordem, operações e propriedades,complementar_questoes,"Exercícios resolvidos sobre conjuntos numéricos",Saber Matemática,https://www.youtube.com/watch?v=RtUf2pukbW8,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Resolve exercícios práticos sobre conjuntos numéricos, treinando ordem e operações entre os conjuntos do código MAT-01."
MAT-02,Matemática,Razão e proporção: regra de três simples e composta; porcentagem,principal,"Matemática básica - Razão, proporção, regra de três e porcentagem",Professor Julio Cesar | Bizutemática,https://www.youtube.com/watch?v=aCjc5HAy3_M,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que reúne razão, proporção, regra de três e porcentagem em uma única explicação, cobrindo todo o escopo do código MAT-02."
MAT-02,Matemática,Razão e proporção: regra de três simples e composta; porcentagem,complementar_aprofundamento,"Razão, Proporção, Regra de Três e Porcentagem na Prova de Matemática do Encceja (Aula 4 de 5)",Matemática Rio (Prof. Rafael Procópio),https://www.youtube.com/watch?v=_QEsLci2UOo,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda o tema no contexto de prova oficial (Encceja), detalhando regra de três composta e casos de porcentagem mais elaborados."
MAT-02,Matemática,Razão e proporção: regra de três simples e composta; porcentagem,complementar_questoes,"Matemática para quem tem dificuldade - Regra de três simples com porcentagem - questão de concurso",André Simão,https://www.youtube.com/watch?v=qwjXCnlPcJU,não verificada,não verificada,outro_canal_concursos,NAO,"Resolve passo a passo uma questão real de concurso envolvendo regra de três simples com porcentagem."
MAT-03,Matemática,"Relações, funções: polinomiais, exponenciais, logarítmicas e trigonométricas",principal,"Matemática | Funções Afim, Exponencial, Logarítmica, Quadrática e Trigonométrica",Editora BP no Enem,https://www.youtube.com/watch?v=J841jAJwY9M,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que percorre os principais tipos de função cobrados no código MAT-03: afim/polinomial, exponencial, logarítmica e trigonométrica."
MAT-03,Matemática,"Relações, funções: polinomiais, exponenciais, logarítmicas e trigonométricas",complementar_aprofundamento,"CNU - Bloco 8 - Aula de Matemática: Funções: afins, quadráticas, exponenciais, logarítmicas.",Qconcursos,https://www.youtube.com/watch?v=ZyRw3xjrx3c,não verificada,não verificada,outro_canal_concursos,NAO,"Aprofunda funções afins, quadráticas, exponenciais e logarítmicas no contexto de concurso público (CNU), com aplicação a itens de prova."
MAT-03,Matemática,"Relações, funções: polinomiais, exponenciais, logarítmicas e trigonométricas",complementar_revisao,"funções exponenciais e logarítmicas - revisão ESA",Matemática Passo a Passo!,https://www.youtube.com/watch?v=Dg0_S0_wa-U,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Revisão objetiva de funções exponenciais e logarítmicas voltada a prova, útil para reforço de véspera."
MAT-04,Matemática,"Equações: 1º grau, 2º grau, exponenciais, logarítmicas e sistemas de equações lineares",principal,"Matemática para concursos | Equação do 1º e 2º grau e equação exponencial com André Arruda",Gran Cursos Online,https://www.youtube.com/watch?v=h_8abJwkqoc,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula de canal consolidado de concursos (Gran Cursos) cobrindo equações do 1º e 2º grau e equações exponenciais, núcleo do código MAT-04."
MAT-04,Matemática,"Equações: 1º grau, 2º grau, exponenciais, logarítmicas e sistemas de equações lineares",complementar_questoes,"SISTEMA EQ. DO 1º GRAU - 6 QUESTÕES CONCURSO",Professor em Casa (Felipe Cardoso),https://www.youtube.com/watch?v=fRQvZsTkWsQ,não verificada,não verificada,outro_canal_concursos,GERAL,"Resolve 6 questões de concurso sobre sistemas de equações do 1º grau, complementando a teoria com prática de prova."
MAT-04,Matemática,"Equações: 1º grau, 2º grau, exponenciais, logarítmicas e sistemas de equações lineares",complementar_revisao,"Equações de 1º e 2º graus | Concursos VUNESP",Contate a Matemática,https://www.youtube.com/watch?v=0dg1vXFSee8,não verificada,não verificada,outro_canal_concursos,GERAL,"Revisão de equações de 1º e 2º grau no padrão da banca VUNESP, útil para reforço direcionado a concursos dessa banca."
MAT-05,Matemática,"Análise combinatória: princípio fundamental da contagem, permutação, arranjo e combinação",principal,"ANÁLISE COMBINATÓRIA | PERMUTAÇÃO | ARRANJO | COMBINAÇÃO",Dicasdemat Sandro Curiós,https://www.youtube.com/watch?v=_8mZOSXCRp8,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que cobre permutação, arranjo e combinação, os três pilares de contagem do código MAT-05."
MAT-05,Matemática,"Análise combinatória: princípio fundamental da contagem, permutação, arranjo e combinação",complementar_aprofundamento,"Análise Combinatória - Princípio Fundamental da Contagem - Prof. Gui",Matemática em Exercícios,https://www.youtube.com/watch?v=x3fpYbJ2N7M,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda especificamente o princípio fundamental da contagem (multiplicativo), base conceitual antes de arranjos e combinações."
MAT-05,Matemática,"Análise combinatória: princípio fundamental da contagem, permutação, arranjo e combinação",complementar_questoes,"APRENDA COM EXERCÍCIOS | ANÁLISE COMBINATÓRIA",Dicasdemat Sandro Curiós,https://www.youtube.com/watch?v=lJLMHFqrn4c,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Foca na resolução de exercícios de análise combinatória, treinando a aplicação prática dos conceitos de contagem."
MAT-06,Matemática,Probabilidade básica em espaços equiprováveis,principal,"Probabilidade em espaços amostrais equiprováveis",Kuadro Oficial,https://www.youtube.com/watch?v=0_PhBIUpD7w,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central sobre probabilidade em espaços amostrais equiprováveis, correspondendo diretamente ao código MAT-06."
MAT-06,Matemática,Probabilidade básica em espaços equiprováveis,complementar_aprofundamento,"Probabilidade - Probabilidade em espaço amostral finito e equiprovável - Aula 72",Portal da Matemática OBMEP,https://www.youtube.com/watch?v=ijnrJR8Besg,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda a formalização de espaço amostral finito e equiprovável, com abordagem mais rigorosa do que a aula introdutória."
MAT-06,Matemática,Probabilidade básica em espaços equiprováveis,complementar_questoes,"Aprenda Probabilidade para Concursos Públicos - Aula 1",Felippe Loureiro,https://www.youtube.com/watch?v=6IxBMhpOm20,não verificada,não verificada,outro_canal_concursos,GERAL,"Introduz probabilidade com foco declarado em concursos públicos, trazendo exemplos e questões aplicadas ao formato de prova."
MAT-07,Matemática,"Estatística básica: tabelas/gráficos; média, mediana, moda; amplitude, variância, desvio padrão",principal,"Estatística (Média, Mediana, Moda, Variância e Desvio Padrão) - Prof. Gui",Matemática em Exercícios,https://www.youtube.com/watch?v=1ZEPQ1glJME,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que cobre as principais medidas de estatística descritiva do código MAT-07: média, mediana, moda, variância e desvio padrão."
MAT-07,Matemática,"Estatística básica: tabelas/gráficos; média, mediana, moda; amplitude, variância, desvio padrão",complementar_aprofundamento,"[ESTATÍSTICA] Médias, Moda, Mediana, Variância e Desvio-Padrão [ENEM/CONCURSO]",Exatas Com Vagner Lopes,https://www.youtube.com/watch?v=l2MyLvp82Rg,não verificada,não verificada,outro_canal_concursos,GERAL,"Aprofunda as mesmas medidas estatísticas com foco explícito em ENEM/concurso, trazendo variações de tipos de média."
MAT-07,Matemática,"Estatística básica: tabelas/gráficos; média, mediana, moda; amplitude, variância, desvio padrão",complementar_questoes,"EXERCÍCIO: MODA, MEDIANA, MÉDIA, DESVIO PADRÃO E VARIÂNCIA || ESTATÍSTICA DESCRITIVA",Kassa Student,https://www.youtube.com/watch?v=-q7X1K1Dcms,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Resolve exercício completo partindo de tabela de frequência, treinando o cálculo de todas as medidas do código MAT-07."
MAT-08,Matemática,"Matemática financeira: juros simples e compostos (montante, tempo, taxa, juro)",principal,"Matemática Financeira - Aula 1 - Juros Simples e Compostos - Prof. Gui",Matemática em Exercícios,https://www.youtube.com/watch?v=YExQ10soiJg,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que introduz juros simples e compostos, cobrindo montante, taxa e tempo conforme o código MAT-08."
MAT-08,Matemática,"Matemática financeira: juros simples e compostos (montante, tempo, taxa, juro)",complementar_aprofundamento,"Aula 01 - Capital, Juro, Taxa de Juros e Montante",Professor Willian Capriata,https://www.youtube.com/watch?v=LbUhrTjgnC0,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda as definições formais de capital, juro, taxa de juros e montante antes de aplicar as fórmulas de juros simples/compostos."
MAT-08,Matemática,"Matemática financeira: juros simples e compostos (montante, tempo, taxa, juro)",complementar_questoes,"Aula 03 - Exercícios de fixação - Juros simples e compostos",Professor Willian Capriata,https://www.youtube.com/watch?v=bz8YdaD6Co0,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula de exercícios de fixação sobre juros simples e compostos, mesma série do vídeo de aprofundamento, treinando o cálculo do montante."
MAT-09,Matemática,Geometria plana: relações métricas no triângulo retângulo; perímetros e áreas,principal,"Geometria Plana - Aula 6 - Relações Métricas no Triângulo Retângulo - Prof. Gui",Matemática em Exercícios,https://www.youtube.com/watch?v=Ay5uvMhZqc8,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central sobre relações métricas no triângulo retângulo, núcleo teórico citado explicitamente no código MAT-09."
MAT-09,Matemática,Geometria plana: relações métricas no triângulo retângulo; perímetros e áreas,complementar_aprofundamento,"Relações Métricas no Triângulo Retângulo (Demonstração e Exercícios) - GEOMETRIA PLANA (Aula 13)",Equaciona Com Paulo Pereira,https://www.youtube.com/watch?v=Sk4KxSLUrZc,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda com a demonstração formal das relações métricas, indo além da aplicação direta de fórmulas."
MAT-09,Matemática,Geometria plana: relações métricas no triângulo retângulo; perímetros e áreas,complementar_questoes,"GEOMETRIA PLANA - TRIÂNGULO RETÂNGULO",Prof. Sérgio Mendes,https://www.youtube.com/watch?v=CZaNGDeInSU,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula orientada a exercícios sobre triângulo retângulo e Teorema de Pitágoras, com foco declarado em concursos."
MAT-10,Matemática,Geometria espacial: áreas e volumes,principal,"VOLUME DE SÓLIDOS GEOMÉTRICOS - Prisma, Paralelepípedo, Cubo, Pirâmide, Cilindro e Esfera",Gis com Giz,https://www.youtube.com/watch?v=RGlCdaZJrI4,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aula central que percorre o cálculo de volume de todos os principais sólidos geométricos, cobrindo o escopo do código MAT-10."
MAT-10,Matemática,Geometria espacial: áreas e volumes,complementar_aprofundamento,"Geometria Espacial - Aula 01 - Prismas",Prof. Reinaldo Amirato,https://www.youtube.com/watch?v=F1jv-TYaeMk,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Aprofunda especificamente prismas (classificação, elementos, áreas e volumes), detalhando um dos sólidos do código MAT-10."
MAT-10,Matemática,Geometria espacial: áreas e volumes,complementar_revisao,"Geometria Espacial I Revisão Completa",Dicasdemat Sandro Curiós,https://www.youtube.com/watch?v=Y_gD7S6OkC4,não verificada,não verificada,fora_do_universo_concursos,GERAL,"Revisão completa de geometria espacial (prismas, cilindro, pirâmide, cone e esfera), útil para reforço final."
